feature,importance,cumulative_importance
D8,18365.7406539917,0.8711764590875811
V283,17997.054206848145,0.8746887821735791
V83,17836.602912902832,0.8781697914246892
V281,17505.806800842285,0.8815862421759584
V189,16837.338752746582,0.884872234034867
V54,16322.091835021973,0.8880576697903537
V30,16045.39291381836,0.8911891047078342
V285,15995.305541992188,0.8943107645237697
M3,13568.650573730469,0.8969588359308013
V309,13536.393203735352,0.8996006119572654
id_02,12993.508811950684,0.902136438123248
id_20,12111.454544067383,0.9045001216967494
V313,11216.502433776855,0.906689145521955
V62,10743.271713256836,0.9087858131667779
V156,10674.683090209961,0.9108690949873767
V87,10529.036102294922,0.9129239521962483
V59,10244.900390625,0.9149233571956537
V320,9922.253379821777,0.9168597940819642
V314,9897.322807312012,0.918791365492827
device_card_count,9371.843521118164,0.9206203838410107
card4,9259.722053527832,0.9224275204515209
V38,9175.560035705566,0.9242182319185179
V133,8664.186920166016,0.9259091432971991
D11,8660.44856262207,0.9275993250942857
V82,8310.886192321777,0.9292212859498176
V53,8299.204086303711,0.9308409669138634
D5,8146.871147155762,0.9324309184292574
V126,7821.230758666992,0.9339573176409757
V13,7425.2982177734375,0.935406446262302
V67,7301.874954223633,0.9368314874761597
V243,7223.159912109375,0.9382411665837274
V19,7159.088523864746,0.9396383414551297
V165,7107.891510009766,0.9410255246661396
M2,6616.830978393555,0.9423168720130135
V311,6555.964004516602,0.9435963405004326
id_09,6539.671531677246,0.944872629332569
V149,6538.549247741699,0.946148699138651
V76,6433.930862426758,0.9474043515160949
C12,6179.933486938477,0.9486104335118832
V307,6058.409297943115,0.9497927987254909
V315,6012.468963623047,0.9509661981775381
V160,5303.673889160156,0.9520012684744545
V152,5247.157211303711,0.9530253089200353
card1_txn_1.0h,5218.994293212891,0.9540438530623744
V130,4735.51277923584,0.9549680404692346
V164,4422.837425231934,0.9558312058415067
TransactionDT_day,4392.409729003906,0.9566884329141725
V35,4172.982437133789,0.9575028363372522
V48,4107.693748474121,0.958304497954601
V55,4080.370086669922,0.9591008270588037
V75,3960.967414855957,0.9598738534182393
V90,3742.685707092285,0.960604279701428
C3,3725.917694091797,0.961331433522441
V56,3613.250518798828,0.9620365991049196
V12,3564.2403259277344,0.9627321998091747
V296,3470.9779663085938,0.9634095993381163
id_17,3464.965042114258,0.9640858253787626
V37,3454.1069259643555,0.9647599323386091
C7,3414.178955078125,0.9654262469157517
V129,3345.343276977539,0.966079127453159
id_19,3131.6378021240234,0.9666903010165081
V20,3033.3370056152344,0.9672822900981646
D6,2803.1988983154297,0.9678293651967911
V78,2797.9620361328125,0.9683754182641601
M9,2777.069755554199,0.9689173939731707
id_06,2709.480422973633,0.9694461788804833
id_05,2662.200523376465,0.9699657365953372
V61,2653.7129974365234,0.9704836378761459
V64,2613.3009872436523,0.9709936523086559
V331,2597.3478393554688,0.9715005533088797
V49,2549.2295684814453,0.9719980634992685
V69,2488.3099822998047,0.9724836845623326
V102,2487.610969543457,0.9729691692053685
id_13,2461.4486923217773,0.9734495479922342
V217,2412.1800079345703,0.9739203114534137
V169,2411.4878997802734,0.9743909398420741
D13,2406.7748107910156,0.9748606484195769
V261,2347.7721939086914,0.9753188419873994
V86,2341.145980834961,0.9757757423768558
id_38,2313.816665649414,0.9762273091498467
V29,2271.497398376465,0.9766706168523409
V225,2265.6309814453125,0.9771127796590436
V231,2254.458427429199,0.9775527620189384
V81,2247.704002380371,0.97799142617849
V7,2240.4029541015625,0.9784286654581624
V124,2125.7294845581055,0.9788435249489095
V244,2023.6740112304688,0.9792384671914836
id_11,1978.6463241577148,0.9796246217856459
V36,1973.2689895629883,0.9800097269338145
V2,1917.0761528015137,0.9803838654317992
id_14,1905.4481887817383,0.9807557346047046
V136,1880.208999633789,0.9811226780722305
V209,1867.6559982299805,0.9814871716834567
V228,1841.9150085449219,0.9818466416574092
V131,1808.618896484375,0.9821996135288545
V256,1754.3040161132812,0.9825419852539621
V159,1732.2119903564453,0.9828800454772434
V224,1721.1059875488281,0.9832159382419169
V289,1672.7580108642578,0.9835423953671396
V44,1627.0850143432617,0.983859938904714
V207,1613.397087097168,0.9841748110927266
id_03,1577.6224212646484,0.9844827014612009
V318,1519.191307067871,0.9847791883550299
V316,1465.9002685546875,0.9850652749165215
V266,1423.6065826416016,0.9853431074000003
V6,1421.9259490966797,0.9856206118893568
V127,1414.8760833740234,0.9858967405198729
V282,1411.3890228271484,0.9861721886121675
V74,1407.8680114746094,0.9864469495403676
D9,1395.437889099121,0.9867192845934617
V23,1338.5309753417969,0.9869805136363917
V5,1333.7542037963867,0.9872408104398129
V34,1288.473014831543,0.9874922701211399
